Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
50,5,25,3,deviation,0.1,0.00221997,0.00129836,0.0066032,0.0108551,0.0862872,00:12
50,3,25,3,deviation,0.1,0.00221997,0.00129836,0.00660117,0.0108553,0.0822362,00:17
50,0,25,3,deviation,0.1,0.00221997,0.00129836,0.00660523,0.0108549,0.0984403,00:13
50,3,25,2,none,0.01,0.00220579,0.00128418,0.151892,0.00243048,6.49646,05:44
50,5,13,2,none,0.01,0.00218959,0.00123354,0.174732,0.00213274,6.72554,05:13
50,0,13,2,none,0.01,0.00217136,0.00122544,0.177665,0.00211039,16.4104,05:27
40,5,10,3,none,0.01,0.0021187,0.00112214,0.129301,0.00273978,3.71278,02:56
40,3,20,2,absolute,0.001,0.00210452,0.00123152,0.124235,0.00351842,1.08568,01:02
40,5,20,2,absolute,0.001,0.00210249,0.00123152,0.124339,0.00351282,1.08852,00:58
40,0,20,2,absolute,0.001,0.00210249,0.00123152,0.124339,0.00351282,1.08852,01:06
40,0,10,3,none,0.01,0.00208224,0.00110391,0.12807,0.00267993,7.88839,02:54
40,3,20,3,absolute,0.001,0.00206198,0.00124975,0.116891,0.00381934,0.973668,00:56
40,0,20,3,absolute,0.001,0.00205793,0.00124772,0.116897,0.00381119,0.975491,01:00
40,5,20,3,absolute,0.001,0.00205793,0.00124772,0.116897,0.00381119,0.975491,00:54
40,3,20,3,absolute,0.01,0.00205185,0.00113632,0.206455,0.00282163,2.8732,02:07
40,5,20,3,absolute,0.01,0.00204173,0.00112416,0.207442,0.00278233,2.91148,02:02
40,3,10,2,absolute,0.001,0.0020397,0.0011505,0.0796476,0.00368629,0.605834,00:36
40,0,20,3,absolute,0.01,0.0020397,0.00112416,0.207444,0.00278129,2.91169,02:14
40,0,10,2,absolute,0.001,0.00203362,0.00114645,0.0797185,0.00367336,0.607656,00:37
40,5,10,2,absolute,0.001,0.00203362,0.00114645,0.0797185,0.00367336,0.607656,00:34
50,5,25,2,none,0.01,0.00202552,0.00114442,0.182753,0.00214486,8.09621,06:45
50,0,25,2,none,0.01,0.00201134,0.00113834,0.183184,0.00213448,8.17602,06:45
40,5,20,3,none,0.001,0.00200932,0.00120316,0.119354,0.00345601,1.03383,01:13
40,0,20,3,none,0.001,0.00200527,0.00120113,0.119354,0.00344977,1.03464,01:15
40,3,20,3,none,0.01,0.00198096,0.00110796,0.194073,0.00266917,2.50598,02:24
40,3,20,3,none,0.001,0.00197286,0.0011505,0.112554,0.00322432,0.926271,00:53
40,5,20,3,none,0.01,0.00192627,0.00104922,0.217683,0.00254151,3.31355,02:09
40,3,10,3,absolute,0.001,0.00192425,0.00107353,0.0710897,0.00341473,0.541827,00:34
40,0,10,3,absolute,0.001,0.00191614,0.00106948,0.071266,0.00340139,0.543042,00:34
40,5,10,3,absolute,0.001,0.00191614,0.00106948,0.071266,0.00340139,0.543042,00:33
40,0,20,3,none,0.01,0.00191412,0.00104314,0.218234,0.00252399,3.33907,03:01
40,5,30,3,deviation,0.1,0.00186753,0.00102289,0.0155479,0.00626014,0.148876,00:14
40,3,30,3,deviation,0.1,0.00186753,0.00102289,0.0155479,0.00626015,0.148876,00:13
40,0,30,3,deviation,0.1,0.00186753,0.00102289,0.0155479,0.00626014,0.148876,00:14
50,3,13,3,deviation,5.,0.00182297,0.000834515,0.290766,0.00186606,13.0002,04:38
40,3,10,3,absolute,0.01,0.00180271,0.000970225,0.142931,0.0026991,1.50699,01:11
40,3,10,2,absolute,0.01,0.00180069,0.000947944,0.152753,0.00250077,1.70407,01:12
40,5,10,3,absolute,0.01,0.00178043,0.000951995,0.143873,0.00266861,1.52218,01:06
40,0,10,3,absolute,0.01,0.00177841,0.00094997,0.143889,0.00266839,1.52238,01:07
40,0,10,2,absolute,0.01,0.00177031,0.000929714,0.153968,0.00247431,1.72352,01:09
40,5,10,2,absolute,0.01,0.00177031,0.00093174,0.153958,0.00247448,1.72331,01:09
40,3,10,2,none,0.01,0.00176423,0.000927689,0.164231,0.00172113,3.60624,03:13
50,5,13,3,deviation,5.,0.00175208,0.000808183,0.293778,0.0018085,15.2858,05:06
40,3,10,0,deviation,5.,0.00169131,0.000791979,0.284553,0.00150321,11.382,04:36
40,3,10,1,deviation,5.,0.00169131,0.000791979,0.284553,0.00150321,11.382,04:40
50,0,13,3,deviation,5.,0.00167713,0.000781851,0.294902,0.00175206,21.255,06:46
30,0,8,2,none,0.001,0.00165283,0.00101681,0.109674,0.00250341,5.17521,02:25
30,5,8,2,none,0.001,0.00165283,0.00101681,0.109959,0.0025036,3.38931,02:26
40,5,10,0,deviation,5.,0.00163257,0.000759571,0.286121,0.00145252,13.6941,04:53
40,5,10,1,deviation,5.,0.00163257,0.000759571,0.286121,0.00145252,13.6941,04:40
50,3,13,3,absolute,0.1,0.00160826,0.000834515,0.311424,0.00179352,14.4697,06:05
50,3,13,1,deviation,5.,0.00160624,0.0007778,0.313867,0.00157653,16.0413,05:52
50,3,13,0,deviation,5.,0.00160624,0.0007778,0.313867,0.00157653,16.0413,05:40
50,3,13,2,absolute,0.1,0.00158801,0.000822362,0.316208,0.00177152,15.7663,06:27
40,3,10,3,deviation,5.,0.00158598,0.000723111,0.259599,0.00148943,9.17744,03:20
50,3,25,1,deviation,0.1,0.00158193,0.000962123,0.0182277,0.0029023,0.590845,00:50
50,3,25,0,deviation,0.1,0.00158193,0.000962123,0.0182277,0.0029023,0.590845,00:47
50,0,25,1,deviation,0.1,0.00158193,0.000962123,0.0182317,0.00290222,0.607049,00:46
50,0,25,0,deviation,0.1,0.00158193,0.000962123,0.0182317,0.00290222,0.607049,00:49
50,5,25,1,deviation,0.1,0.00158193,0.000962123,0.0182297,0.0029023,0.594896,00:45
50,5,25,0,deviation,0.1,0.00158193,0.000962123,0.0182297,0.0029023,0.594896,00:44
