Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Median_Hits_Top_Score,Average_Hits,Self_Matches,Unique_Self_Matches,Mean_F1_Score,Mean_Precision,Mean_Liberal_F1_Score,Mean_Liberal_Precision,Mean_Sharpness,DB_Size_MB,Runtime_find-matches,Runtime_create-db
30,3,8,2,deviation,0.01,1,1.07,203,193,0.000613409,0.000307216,0.00117561,0.000589638,0.959271,35.69,05:37,1:15:36
30,3,8,2,deviation,0.001,1,1.07,203,193,0.000613409,0.000307216,0.00117561,0.000589638,0.959271,35.69,06:16,1:15:58
50,5,13,0,deviation,0.001,1,1.07,203,193,0.000613246,0.000307125,0.00129198,0.000648308,0.97926,80.45,06:36,1:13:14
50,5,13,0,deviation,0.01,1,1.07,203,193,0.000613246,0.000307125,0.00129198,0.000648308,0.97926,80.45,06:46,1:13:36
50,5,13,1,deviation,0.01,1,1.07,203,193,0.000613246,0.000307125,0.00129198,0.000648308,0.97926,80.45,06:56,1:15:07
50,5,13,1,deviation,0.001,1,1.07,203,193,0.000613246,0.000307125,0.00129198,0.000648308,0.97926,80.45,06:37,1:14:02
30,3,8,0,deviation,0.001,1,1.07,203,194,0.000611429,0.000306214,0.00116623,0.000584906,0.962082,36.93,06:00,1:15:50
30,3,8,0,deviation,0.01,1,1.07,203,194,0.000611429,0.000306214,0.00116623,0.000584906,0.962082,36.93,05:42,1:15:47
30,3,8,1,deviation,0.001,1,1.07,203,194,0.000611429,0.000306214,0.00116623,0.000584906,0.962082,36.93,06:19,1:17:01
30,3,8,1,deviation,0.01,1,1.07,203,194,0.000611429,0.000306214,0.00116623,0.000584906,0.962082,36.93,05:54,1:16:33
30,5,8,3,deviation,0.001,1,1.07,203,193,0.000611205,0.000306124,0.001263,0.000633531,0.957833,35.15,05:36,1:14:56
30,5,8,3,deviation,0.01,1,1.07,203,193,0.000611205,0.000306124,0.001263,0.000633531,0.957833,35.15,05:49,1:15:26
30,0,8,3,deviation,0.001,1,1.07,203,193,0.000606511,0.000303768,0.00123863,0.000621271,0.954627,36.94,07:13,1:16:47
30,0,8,3,deviation,0.01,1,1.07,203,193,0.000606511,0.000303768,0.00123863,0.000621271,0.954627,36.94,07:08,1:17:49
30,5,8,2,deviation,0.001,1,1.07,203,193,0.000604288,0.000302642,0.00114154,0.000572518,0.948632,40.03,05:53,1:16:39
30,5,8,2,deviation,0.01,1,1.07,203,193,0.000604288,0.000302642,0.00114154,0.000572518,0.948632,40.03,05:57,1:16:17
30,5,8,1,deviation,0.01,1,1.07,203,194,0.000602512,0.000301743,0.00113618,0.000569808,0.95162,41.32,05:37,1:16:14
30,5,8,1,deviation,0.001,1,1.07,203,194,0.000602512,0.000301743,0.00113618,0.000569808,0.95162,41.32,05:55,1:16:24
30,5,8,0,deviation,0.01,1,1.07,203,194,0.000602512,0.000301743,0.00113618,0.000569808,0.95162,41.32,05:33,1:17:24
30,5,8,0,deviation,0.001,1,1.07,203,194,0.000602512,0.000301743,0.00113618,0.000569808,0.95162,41.32,06:11,1:16:32
30,0,8,2,deviation,0.001,1,1.07,203,193,0.00060006,0.000300521,0.00113522,0.000569355,0.944546,42.19,07:19,1:18:27
30,0,8,2,deviation,0.01,1,1.07,203,193,0.00060006,0.000300521,0.00113522,0.000569355,0.944546,42.19,07:21,1:17:06
50,3,25,3,deviation,0.001,1,1.06,203,195,0.000598769,0.000299879,0.00174586,0.00087715,0.995563,87.24,08:58,1:19:38
50,3,25,3,deviation,0.01,1,1.06,203,195,0.000598769,0.000299879,0.00174586,0.00087715,0.995563,87.24,09:12,1:20:15
50,0,13,3,deviation,0.001,1,1.07,203,193,0.000598615,0.00029977,0.00141292,0.000709292,0.981007,87.27,06:44,1:16:04
50,0,13,3,deviation,0.01,1,1.07,203,193,0.000598615,0.00029977,0.00141292,0.000709292,0.981007,87.27,06:33,1:16:18
30,0,8,1,deviation,0.001,1,1.07,203,194,0.000598304,0.000299631,0.00113058,0.000567005,0.94762,43.50,07:18,1:18:31
30,0,8,1,deviation,0.01,1,1.07,203,194,0.000598304,0.000299631,0.00113058,0.000567005,0.94762,43.50,06:46,1:17:26
30,0,8,0,deviation,0.01,1,1.07,203,194,0.000598304,0.000299631,0.00113058,0.000567005,0.94762,43.50,06:35,1:17:33
30,0,8,0,deviation,0.001,1,1.07,203,194,0.000598304,0.000299631,0.00113058,0.000567005,0.94762,43.50,07:29,1:18:00
50,0,13,2,deviation,0.01,1,1.07,203,193,0.000598001,0.000299471,0.00122381,0.000613937,0.970299,98.69,07:43,1:18:02
50,0,13,2,deviation,0.001,1,1.07,203,193,0.000598001,0.000299471,0.00122381,0.000613937,0.970299,98.69,07:32,1:18:02
50,0,13,1,deviation,0.001,1,1.07,203,193,0.000597969,0.000299453,0.00123007,0.000617083,0.97258,101.75,07:40,1:17:27
50,0,13,1,deviation,0.01,1,1.07,203,193,0.000597969,0.000299453,0.00123007,0.000617083,0.97258,101.75,07:37,1:17:52
50,0,13,0,deviation,0.001,1,1.07,203,193,0.000597969,0.000299453,0.00123007,0.000617083,0.97258,101.75,07:33,1:18:10
50,0,13,0,deviation,0.01,1,1.07,203,193,0.000597969,0.000299453,0.00123007,0.000617083,0.97258,101.75,07:49,1:18:29
50,5,25,3,deviation,0.01,1,1.06,203,195,0.000596838,0.00029891,0.00174521,0.000876813,0.995641,88.97,09:38,1:19:24
50,5,25,3,deviation,0.001,1,1.06,203,195,0.000596838,0.00029891,0.00174521,0.000876813,0.995641,88.97,09:22,1:20:21
50,0,25,3,deviation,0.01,1,1.06,203,195,0.000595597,0.000298288,0.00172928,0.000868727,0.995739,89.46,09:41,1:20:20
50,0,25,3,deviation,0.001,1,1.06,203,195,0.000595597,0.000298288,0.00172928,0.000868727,0.995739,89.46,09:37,1:20:49
40,3,20,3,deviation,0.001,1,1.06,203,195,0.000587848,0.000294376,0.00160946,0.00080804,0.994638,60.26,06:44,1:22:04
40,3,20,3,deviation,0.01,1,1.06,203,195,0.000587848,0.000294376,0.00160946,0.00080804,0.994638,60.26,06:48,1:21:36
40,5,20,3,deviation,0.001,1,1.06,203,195,0.000587217,0.00029406,0.0016066,0.000806633,0.99458,60.74,06:26,1:22:04
40,5,20,3,deviation,0.01,1,1.06,203,195,0.000587217,0.00029406,0.0016066,0.000806633,0.99458,60.74,06:41,1:21:14
40,0,20,3,deviation,0.001,1,1.06,203,195,0.000586763,0.000293832,0.00160321,0.000804931,0.994585,60.97,06:56,1:20:03
40,0,20,3,deviation,0.01,1,1.06,203,195,0.000586763,0.000293832,0.00160321,0.000804931,0.994585,60.97,06:41,1:20:28
30,3,15,3,deviation,0.001,1,1.06,203,195,0.000583879,0.000292383,0.00152713,0.000766478,0.991502,39.84,06:11,1:22:36
30,3,15,3,deviation,0.01,1,1.06,203,195,0.000583879,0.000292383,0.00152713,0.000766478,0.991502,39.84,06:06,1:22:10
30,5,15,3,deviation,0.01,1,1.06,203,195,0.000583265,0.000292074,0.00152048,0.000763102,0.991432,39.98,06:24,1:22:01
30,5,15,3,deviation,0.001,1,1.06,203,195,0.000583265,0.000292074,0.00152048,0.000763102,0.991432,39.98,06:34,1:21:40
30,0,15,3,deviation,0.001,1,1.06,203,195,0.000583265,0.000292074,0.00152044,0.000763083,0.991432,40.02,06:27,1:23:13
30,0,15,3,deviation,0.01,1,1.06,203,195,0.000583265,0.000292074,0.00152044,0.000763083,0.991432,40.02,06:26,1:22:52
40,3,20,0,deviation,0.01,1,1.06,203,195,0.000576347,0.000288601,0.00137714,0.000691035,0.990138,69.79,07:20,1:23:29
40,3,20,0,deviation,0.001,1,1.06,203,195,0.000576347,0.000288601,0.00137714,0.000691035,0.990138,69.79,07:27,1:22:50
40,3,20,1,deviation,0.001,1,1.06,203,195,0.000576347,0.000288601,0.00137714,0.000691035,0.990138,69.79,07:15,1:24:19
40,3,20,1,deviation,0.01,1,1.06,203,195,0.000576347,0.000288601,0.00137714,0.000691035,0.990138,69.79,07:12,1:24:11
40,5,20,1,deviation,0.001,1,1.06,203,195,0.000576145,0.0002885,0.0013739,0.000689417,0.990156,70.36,07:12,1:23:43
40,5,20,1,deviation,0.01,1,1.06,203,195,0.000576145,0.0002885,0.0013739,0.000689417,0.990156,70.36,07:11,1:23:04
40,5,20,0,deviation,0.001,1,1.06,203,195,0.000576145,0.0002885,0.0013739,0.000689417,0.990156,70.36,07:01,1:23:13
40,5,20,0,deviation,0.01,1,1.06,203,195,0.000576145,0.0002885,0.0013739,0.000689417,0.990156,70.36,07:05,1:24:30
40,0,20,1,deviation,0.01,1,1.06,203,195,0.000575807,0.000288331,0.00137176,0.000688344,0.990158,70.76,07:12,1:22:32
40,0,20,1,deviation,0.001,1,1.06,203,195,0.000575807,0.000288331,0.00137176,0.000688344,0.990158,70.76,07:27,1:23:05
40,0,20,0,deviation,0.01,1,1.06,203,195,0.000575807,0.000288331,0.00137176,0.000688344,0.990158,70.76,07:10,1:22:34
40,0,20,0,deviation,0.001,1,1.06,203,195,0.000575807,0.000288331,0.00137176,0.000688344,0.990158,70.76,07:23,1:22:09
40,3,20,2,deviation,0.01,1,1.06,203,195,0.000573893,0.000287367,0.00137713,0.000691017,0.988834,67.77,07:27,1:23:20
40,3,20,2,deviation,0.001,1,1.06,203,195,0.000573893,0.000287367,0.00137713,0.000691017,0.988834,67.77,07:27,1:23:21
40,5,20,2,deviation,0.01,1,1.06,203,195,0.000573678,0.00028726,0.00137103,0.00068795,0.988919,68.33,07:15,1:26:42
40,5,20,2,deviation,0.001,1,1.06,203,195,0.000573678,0.00028726,0.00137103,0.00068795,0.988919,68.33,07:07,1:23:03
40,0,20,2,deviation,0.01,1,1.06,203,195,0.000573342,0.000287092,0.00136874,0.000686804,0.988921,68.71,07:26,1:22:49
40,0,20,2,deviation,0.001,1,1.06,203,195,0.000573342,0.000287092,0.00136874,0.000686804,0.988921,68.71,07:29,1:22:14
30,3,15,2,deviation,0.01,1,1.06,203,195,0.000573251,0.000287051,0.00136329,0.000684133,0.985046,44.90,06:40,1:23:24
30,3,15,2,deviation,0.001,1,1.06,203,195,0.000573251,0.000287051,0.00136329,0.000684133,0.985046,44.90,06:24,1:23:57
30,5,15,2,deviation,0.01,1,1.06,203,195,0.000572746,0.000286798,0.00135841,0.000681647,0.985029,45.08,06:55,1:23:03
30,5,15,2,deviation,0.001,1,1.06,203,195,0.000572746,0.000286798,0.00135841,0.000681647,0.985029,45.08,06:45,1:22:54
30,0,15,2,deviation,0.01,1,1.06,203,195,0.000572746,0.000286798,0.0013584,0.000681641,0.98503,45.14,06:48,1:23:51
30,0,15,2,deviation,0.001,1,1.06,203,195,0.000572746,0.000286798,0.0013584,0.000681641,0.98503,45.14,06:58,1:23:56
30,3,15,0,deviation,0.01,1,1.06,203,195,0.000570011,0.000285424,0.00135589,0.000680413,0.98571,46.31,06:36,1:23:49
30,3,15,0,deviation,0.001,1,1.06,203,195,0.000570011,0.000285424,0.00135589,0.000680413,0.98571,46.31,06:57,1:23:42
30,3,15,1,deviation,0.001,1,1.06,203,195,0.000570011,0.000285424,0.00135589,0.000680413,0.98571,46.31,06:29,1:25:31
30,3,15,1,deviation,0.01,1,1.06,203,195,0.000570011,0.000285424,0.00135589,0.000680413,0.98571,46.31,06:47,1:23:40
30,5,15,1,deviation,0.01,1,1.06,203,195,0.000569511,0.000285174,0.00135108,0.000677969,0.985692,46.49,06:51,1:22:58
30,5,15,1,deviation,0.001,1,1.06,203,195,0.000569511,0.000285174,0.00135108,0.000677969,0.985692,46.49,07:10,1:23:13
30,5,15,0,deviation,0.01,1,1.06,203,195,0.000569511,0.000285174,0.00135108,0.000677969,0.985692,46.49,06:35,1:22:44
30,5,15,0,deviation,0.001,1,1.06,203,195,0.000569511,0.000285174,0.00135108,0.000677969,0.985692,46.49,06:49,1:23:23
30,0,15,1,deviation,0.001,1,1.06,203,195,0.000569511,0.000285174,0.00135109,0.000677975,0.985692,46.56,06:42,1:24:30
30,0,15,1,deviation,0.01,1,1.06,203,195,0.000569511,0.000285174,0.00135109,0.000677975,0.985692,46.56,06:58,1:24:27
