Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
50,3,25,0,deviation,0.01,0.00122139,0.00058335,0.337213,0.00118872,25.2477,11:32
50,3,25,0,deviation,0.001,0.00122139,0.00058335,0.337213,0.00118872,25.2477,12:08
50,5,25,0,deviation,0.01,0.00121936,0.000579299,0.339129,0.00118009,26.0051,12:16
50,5,25,0,deviation,0.001,0.00121936,0.000579299,0.339129,0.00118009,26.0051,11:33
50,5,25,1,deviation,0.01,0.00121936,0.000579299,0.339129,0.00118009,26.0051,11:35
50,5,25,1,deviation,0.001,0.00121936,0.000579299,0.339129,0.00118009,26.0051,11:53
50,0,25,0,deviation,0.001,0.00121531,0.000575248,0.339421,0.0011756,26.049,12:14
50,0,25,0,deviation,0.01,0.00121531,0.000575248,0.339421,0.0011756,26.049,12:10
50,0,25,1,deviation,0.001,0.00121531,0.000575248,0.339421,0.0011756,26.049,12:13
50,0,25,1,deviation,0.01,0.00121531,0.000575248,0.339421,0.0011756,26.049,11:31
50,3,25,2,deviation,0.001,0.00112619,0.00054284,0.334339,0.00114314,24.8538,11:44
50,3,25,2,deviation,0.01,0.00112619,0.00054284,0.334339,0.00114314,24.8538,11:12
50,5,25,2,deviation,0.01,0.00112214,0.000538789,0.336417,0.00113424,25.6093,12:08
50,5,25,2,deviation,0.001,0.00112214,0.000538789,0.336417,0.00113424,25.6093,12:14
50,0,25,2,deviation,0.001,0.00111809,0.000534738,0.336707,0.00112974,25.653,11:27
50,0,25,2,deviation,0.01,0.00111809,0.000534738,0.336707,0.00112974,25.653,12:04
30,3,8,0,deviation,0.001,0.00106137,0.000528661,0.247002,0.00107112,8.21552,04:02
30,3,8,0,deviation,0.01,0.00106137,0.000528661,0.247002,0.00107112,8.21552,04:09
30,3,8,1,deviation,0.001,0.00106137,0.000528661,0.247002,0.00107112,8.21552,04:00
